surname,nationality,split
Gaber,Arabic,train
Sayegh,Arabic,train
Khouri,Arabic,train
Issa,Arabic,train
Botros,Arabic,train
Bahar,Arabic,train
Tannous,Arabic,train
Haddad,Arabic,train
Almasi,Arabic,train
Maalouf,Arabic,train
Shamoun,Arabic,train
Saliba,Arabic,train
Gerges,Arabic,train
Hanania,Arabic,train
Zogby,Arabic,train
Nader,Arabic,train
Haik,Arabic,train
Haik,Arabic,train
Awad,Arabic,train
Sleiman,Arabic,train
Sarraf,Arabic,train
Safar,Arabic,train
Antar,Arabic,train
Sleiman,Arabic,train
Handal,Arabic,train
Kouri,Arabic,train
Tannous,Arabic,train
Boutros,Arabic,train
Guirguis,Arabic,train
Shamon,Arabic,train
Baba,Arabic,train
Wasem,Arabic,train
Attia,Arabic,train
Mifsud,Arabic,train
Assaf,Arabic,train
Nahas,Arabic,train
Essa,Arabic,train
Mansour,Arabic,train
Bitar,Arabic,train
Saliba,Arabic,train
Hadad,Arabic,train
Kattan,Arabic,train
Morcos,Arabic,train
Boutros,Arabic,train
Sabbag,Arabic,train
Guirguis,Arabic,train
Halabi,Arabic,train
Najjar,Arabic,train
Quraishi,Arabic,train
Handal,Arabic,train
Koury,Arabic,train
Tuma,Arabic,train
Ganim,Arabic,train
Sayegh,Arabic,train
Botros,Arabic,train
Kassis,Arabic,train
Dagher,Arabic,train
Moghadam,Arabic,train
Mifsud,Arabic,train
Baba,Arabic,train
Antar,Arabic,train
Hakimi,Arabic,train
Ganem,Arabic,train
Bishara,Arabic,train
Atiyeh,Arabic,train
Bazzi,Arabic,train
Haik,Arabic,train
Malouf,Arabic,train
Assaf,Arabic,train
Boutros,Arabic,train
Amari,Arabic,train
Daher,Arabic,train
Hadad,Arabic,train
Morcos,Arabic,train
Baba,Arabic,train
Antoun,Arabic,train
Totah,Arabic,train
Botros,Arabic,train
Awad,Arabic,train
Masih,Arabic,train
Botros,Arabic,train
Baz,Arabic,train
Hadad,Arabic,train
Malouf,Arabic,train
Maroun,Arabic,train
Koury,Arabic,train
Antar,Arabic,train
Botros,Arabic,train
Hajjar,Arabic,train
Zogby,Arabic,train
Asfour,Arabic,train
Baz,Arabic,train
Ghannam,Arabic,train
Tahan,Arabic,train
Wasem,Arabic,train
Deeb,Arabic,train
Ghannam,Arabic,train
Boutros,Arabic,train
Baz,Arabic,train
Sabbag,Arabic,train
Handal,Arabic,train
Totah,Arabic,train
Kassis,Arabic,train
Asghar,Arabic,train
Mustafa,Arabic,train
Srour,Arabic,train
Najjar,Arabic,train
Guirguis,Arabic,train
Nader,Arabic,train
Shalhoub,Arabic,train
Basara,Arabic,train
Quraishi,Arabic,train
Fakhoury,Arabic,train
Kattan,Arabic,train
Gaber,Arabic,train
Bata,Arabic,train
Antar,Arabic,train
Ganim,Arabic,train
Kassab,Arabic,train
Nassar,Arabic,train
Baba,Arabic,train
Koury,Arabic,train
Assaf,Arabic,train
Kalb,Arabic,train
Tannous,Arabic,train
Gaber,Arabic,train
Maalouf,Arabic,train
Asker,Arabic,train
Handal,Arabic,train
Bitar,Arabic,train
Kalb,Arabic,train
Srour,Arabic,train
Fakhoury,Arabic,train
Sabbagh,Arabic,train
Khoury,Arabic,train
Hadad,Arabic,train
Bazzi,Arabic,train
Basara,Arabic,train
Attia,Arabic,train
Atiyeh,Arabic,train
Fakhoury,Arabic,train
Kouri,Arabic,train
Tahan,Arabic,train
Najjar,Arabic,train
Botros,Arabic,train
Almasi,Arabic,train
Dagher,Arabic,train
Shammas,Arabic,train
Nassar,Arabic,train
Sarkis,Arabic,train
Awad,Arabic,train
Samaha,Arabic,train
Shamon,Arabic,train
Handal,Arabic,train
Seif,Arabic,train
Guirguis,Arabic,train
Saliba,Arabic,train
Samaha,Arabic,train
Antoun,Arabic,train
Aswad,Arabic,train
Mustafa,Arabic,train
Asfour,Arabic,train
Aswad,Arabic,train
Nader,Arabic,train
Antar,Arabic,train
Abadi,Arabic,train
Cham,Arabic,train
Shamon,Arabic,train
Rahal,Arabic,train
Salib,Arabic,train
Bitar,Arabic,train
Almasi,Arabic,train
Abadi,Arabic,train
Boulos,Arabic,train
Hajjar,Arabic,train
Mustafa,Arabic,train
Mustafa,Arabic,train
Deeb,Arabic,train
Arian,Arabic,train
Ba,Arabic,train
Fakhoury,Arabic,train
Haik,Arabic,train
Haddad,Arabic,train
Baba,Arabic,train
Hanania,Arabic,train
Awad,Arabic,train
Sabbag,Arabic,train
Kattan,Arabic,train
Salib,Arabic,train
Ghannam,Arabic,train
Said,Arabic,train
Guirguis,Arabic,train
Daher,Arabic,train
Halabi,Arabic,train
Cham,Arabic,train
Essa,Arabic,train
Safar,Arabic,train
Asghar,Arabic,train
Hajjar,Arabic,train
Boulos,Arabic,train
Mifsud,Arabic,train
Shamon,Arabic,train
Bata,Arabic,train
Nader,Arabic,train
